domain,category,signal_year,follow_year,winner_fund_id,winner_name,chase_return_pct,category_average_return_pct,gap_pp,winner_vanished
gemel,קרנות השתלמות | כספי,2010,2011,1114,מנורה מבטחים השתלמות כספי (שקלי),3.2977,2.876072727272727,0.42162727272727274,0
gemel,קרנות השתלמות | כספי,2011,2012,1114,מנורה מבטחים השתלמות כספי (שקלי),2.7637,2.8917,-0.1280000000000001,0
gemel,קרנות השתלמות | כספי,2012,2013,715,הפניקס השתלמות כספי (שקלי),2.6878,1.6615727272727272,1.026227272727273,0
gemel,קרנות השתלמות | כספי,2013,2014,715,הפניקס השתלמות כספי (שקלי),5.5871,1.18757,4.39953,0
gemel,קרנות השתלמות | כספי,2014,2015,715,הפניקס השתלמות כספי (שקלי),2.3088,0.29033333333333333,2.018466666666667,0
gemel,קרנות השתלמות | כספי,2015,2016,715,הפניקס השתלמות כספי (שקלי),1.0931,0.2667375,0.8263624999999999,0
gemel,קרנות השתלמות | כספי,2016,2017,715,הפניקס השתלמות כספי (שקלי),0.2503,0.16716,0.08314000000000002,0
gemel,קרנות השתלמות | כספי,2017,2018,1535,אנליסט השתלמות כספי (שקלי),0.18,0.11337777777777777,0.06662222222222222,0
gemel,קרנות השתלמות | כספי,2018,2019,1370,מיטב השתלמות כספי (שקלי),0.4509,0.36177777777777775,0.08912222222222227,0
gemel,קרנות השתלמות | כספי,2019,2020,1535,אנליסט השתלמות כספי (שקלי),-0.0303,0.15675555555555554,-0.18705555555555553,0
gemel,קרנות השתלמות | כספי,2020,2021,1370,מיטב השתלמות כספי (שקלי),0.2803,0.1639125,0.1163875,0
gemel,קרנות השתלמות | כספי,2021,2022,715,הפניקס השתלמות כספי (שקלי),0.3792,0.2853875,0.09381249999999997,0
gemel,קרנות השתלמות | כספי,2022,2023,8705,מור קרן השתלמות לשכירים ולעצמאים - כספי (שקלי),4.2089,4.1069125,0.1019874999999999,0
gemel,קרנות השתלמות | כספי,2023,2024,1351,כלל השתלמות כספי(שקלי),4.6772,4.478311111111111,0.1988888888888889,0
gemel,קרנות השתלמות | כספי,2024,2025,1398,אלטשולר שחם השתלמות כספי (שקלי),5.2071,4.686522222222222,0.5205777777777776,0
gemel,"קרנות השתלמות | אג""ח ללא מניות",2010,2011,1406,"מנורה מבטחים השתלמות מסלול אג""ח קונצרניות",0.3011,3.0991923076923076,-2.7980923076923077,0
gemel,"קרנות השתלמות | אג""ח ללא מניות",2011,2012,1380,להבה מסלול שקלי,7.546551428571428,7.546551428571428,0.0,1
gemel,"קרנות השתלמות | אג""ח ללא מניות",2012,2013,1491,"אינפיניטי השתלמות אג""ח קונצרני",8.4818,3.6313555555555554,4.850444444444444,0
gemel,"קרנות השתלמות | אג""ח ללא מניות",2013,2014,1510,"השתלמות שיטת הפניקס סל עוקב מדד אג""ח לא צמוד ריבית קבועה",5.8033,4.249378260869565,1.553921739130435,0
gemel,"קרנות השתלמות | אג""ח ללא מניות",2014,2015,2130,השתלמות שיטת הפניקס סל עוקב מדד IBoxx $ Liquid,-0.7998,0.92993,-1.72973,0
gemel,"קרנות השתלמות | אג""ח ללא מניות",2015,2016,2125,השתלמות שיטת הפניקס אגח ממשלתי שקלי ריבית קבועה +5,1.7710428571428571,1.7710428571428571,0.0,1
gemel,"קרנות השתלמות | אג""ח ללא מניות",2016,2017,1354,"הפניקס השתלמות - מסלול אג""ח",4.7014,3.5550514285714288,1.1463485714285708,0
gemel,"קרנות השתלמות | אג""ח ללא מניות",2017,2018,8704,"מור השתלמות - מסלול עוקב מדד ""תל בונד 20""",-0.9594,-0.9078387096774194,-0.05156129032258061,0
gemel,"קרנות השתלמות | אג""ח ללא מניות",2018,2019,1319,"ילין לפידות קרן השתלמות מסלול אשראי ואג""ח",5.0821,6.645841379310345,-1.5637413793103452,0
gemel,"קרנות השתלמות | אג""ח ללא מניות",2019,2020,8703,"מור השתלמות - מסלול עוקב מדד ""שקליות ריבית קבועה ממשלתיות""",0.3365,0.9379266666666667,-0.6014266666666667,0
gemel,"קרנות השתלמות | אג""ח ללא מניות",2020,2021,1378,"אלטשולר שחם השתלמות אשראי ואג""ח",3.5389,4.073779166666666,-0.5348791666666664,0
gemel,"קרנות השתלמות | אג""ח ללא מניות",2021,2022,8704,"מור השתלמות - מסלול עוקב מדד ""תל בונד 20""",-9.3244,-5.33464,-3.9897600000000004,0
gemel,"קרנות השתלמות | אג""ח ללא מניות",2022,2023,11928,"סלייס השתלמות אג""ח אג""ח",5.072,4.357382608695652,0.7146173913043476,0
gemel,"קרנות השתלמות | אג""ח ללא מניות",2023,2024,13357,"מנורה מבטחים השתלמות מסלול אשראי ואג""ח",7.5242,5.284455555555556,2.2397444444444448,0
gemel,"קרנות השתלמות | אג""ח ללא מניות",2024,2025,14483,"מור קרן השתלמות לשכירים ולעצמאים - אשראי ואג""ח",8.7338,4.670054166666667,4.063745833333334,0
gemel,קרנות השתלמות | עד 25% מניות,2011,2012,1424,פסגות שיא השתלמות אגח עד 10% מניות,8.4901,8.601022222222221,-0.11092222222222148,0
gemel,קרנות השתלמות | עד 25% מניות,2012,2013,1038,"ילין לפידות קרן השתלמות מסלול אג""ח עם מניות (עד 25% מניות)",9.9842,6.61816923076923,3.366030769230769,0
gemel,קרנות השתלמות | עד 25% מניות,2013,2014,1190,"הפניקס השתלמות אג""ח עד 25% מניות",5.3122,5.00718125,0.30501874999999945,0
gemel,קרנות השתלמות | עד 25% מניות,2014,2015,2271,הלמן-אלדובי השתלמות פאסיבי משולב עד 25% מניות,0.9151,1.575178947368421,-0.660078947368421,0
gemel,קרנות השתלמות | עד 25% מניות,2015,2016,1190,"הפניקס השתלמות אג""ח עד 25% מניות",2.5578,2.49999,0.05780999999999992,0
gemel,קרנות השתלמות | עד 25% מניות,2016,2017,1038,"ילין לפידות קרן השתלמות מסלול אג""ח עם מניות (עד 25% מניות)",4.5429,5.361456521739131,-0.8185565217391302,0
gemel,קרנות השתלמות | עד 25% מניות,2017,2018,558,"אלטשולר שחם השתלמות אשראי ואג""ח עם מניות (עד 25% מניות)",-0.6554,-1.0813818181818182,0.42598181818181824,0
gemel,קרנות השתלמות | עד 25% מניות,2018,2019,1038,"ילין לפידות קרן השתלמות מסלול אג""ח עם מניות (עד 25% מניות)",8.9695,8.9344,0.03509999999999991,0
gemel,קרנות השתלמות | עד 25% מניות,2019,2020,558,"אלטשולר שחם השתלמות אשראי ואג""ח עם מניות (עד 25% מניות)",5.2322,2.4939863636363637,2.738213636363636,0
gemel,קרנות השתלמות | עד 25% מניות,2020,2021,558,"אלטשולר שחם השתלמות אשראי ואג""ח עם מניות (עד 25% מניות)",6.2109,7.224211111111111,-1.0133111111111113,0
gemel,קרנות השתלמות | עד 25% מניות,2021,2022,1038,"ילין לפידות קרן השתלמות מסלול אג""ח עם מניות (עד 25% מניות)",-5.5979,-6.582566666666667,0.9846666666666666,0
gemel,קרנות השתלמות | עד 25% מניות,2022,2023,12956,"מור קרן השתלמות לשכירים ולעצמאים - אשראי ואג""ח עם מניות (עד 25% מניות)",8.7326,6.732431249999999,2.0001687500000003,0
gemel,קרנות השתלמות | עד 25% מניות,2023,2024,11957,"אינפיניטי השתלמות אשראי ואג""ח עם מניות (עד 25% מניות)",9.0216,8.025436363636363,0.9961636363636366,0
