domain,fund_id,fund_name,classification,track,category,year,annual_return,n_months,assets_end
gemel,1002,הדס ארזים אפסילון השתלמות מסלול כללי,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,9.7831,12,96.6
gemel,1010,אי.בי.אי לתגמולים ופיצויים שקלי לטווח קצר,תגמולים ואישית לפיצויים,כספי,תגמולים ואישית לפיצויים | כספי,2010,1.6924,12,5.5
gemel,1011,"תמיר פישמן גמל מניות בישראל ובחו""ל",תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,12.1558,12,32.1
gemel,1012,"תמיר פישמן גמל אג""ח",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,6.8416,12,212.6
gemel,1013,תמיר פישמן גמל כללי,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,8.805,12,117.6
gemel,1014,אי.בי.אי קרן השתלמות מסלול שקלי לטווח קצר,קרנות השתלמות,כספי,קרנות השתלמות | כספי,2010,1.6721,12,3.4
gemel,1015,"תמיר פישמן השתלמות מניות בישראל ובחו""ל",קרנות השתלמות,מניות אקטיבי,קרנות השתלמות | מניות אקטיבי,2010,11.7084,12,27.7
gemel,1016,"תמיר פישמן השתלמות אג""ח",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,6.5772,12,168.6
gemel,1017,תמיר פישמן השתלמות כללי,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,8.7457,12,134.8
gemel,102,אקסלנס גמל פלטינום,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,1.59,1,1552.7
gemel,1035,"ילין לפידות קופת גמל מסלול אג""ח עד 25% מניות",תגמולים ואישית לפיצויים,עד 25% מניות,תגמולים ואישית לפיצויים | עד 25% מניות,2010,3.6831,3,1353.3
gemel,1036,ילין לפידות קופת גמל מסלול מניות,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,9.4914,3,219.8
gemel,1037,"ילין לפידות קופת גמל מסלול אשראי ואג""ח",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,1.0945,3,368.1
gemel,1038,"ילין לפידות קרן השתלמות מסלול אג""ח עם מניות (עד 25% מניות)",קרנות השתלמות,עד 25% מניות,קרנות השתלמות | עד 25% מניות,2010,3.6034,3,1148.6
gemel,1040,"אקסלנס גמל אג""ח קונצרני עד 20% מניות",תגמולים ואישית לפיצויים,עד 25% מניות,תגמולים ואישית לפיצויים | עד 25% מניות,2010,0.25,1,53.1
gemel,1042,אקסלנס גמל שקלי,תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,-0.61,1,34.9
gemel,1044,אקסלנס שחקים מסלול שקלי ב',תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,-0.11,1,0.1
gemel,1049,"אדמונד דה רוטשילד דיסקונט חו""ל",תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,-0.7727,12,4.3
gemel,105,ישיר המלאכה קופת תגמולים ופיצויים מקבוצת ביטוח ישיר,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,9.7601,12,73.3
gemel,1059,פסגות שיא השתלמות פאסיבי- כללי,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,9.7907,12,18.5
gemel,106,פסגות גדיש כללי,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,10.5329,12,20436.8
gemel,1074,"אינפיניטי תגמולים ופיצויים (ב)מסלול סל אג""ח",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,5.0796,9,69.4
gemel,1075,אינפיניטי תגמולים ופיצויים (ב) מסלול סל מנייתי,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,6.4304,9,28.5
gemel,1076,"אינפיניטי תגמולים ופיצויים (ל) מסלול סל אג""ח",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,5.2427,9,38.7
gemel,1077,אינפיניטי תגמולים ופיצויים (ל) מסלול כללי,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,5.6346,9,44.4
gemel,1078,"אינפיניטי גמל אשראי ואג""ח",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,4.9964,9,184.2
gemel,1079,אינפיניטי גמל מניות בישראל,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,6.4438,9,58.2
gemel,1080,"אינפיניטי השתלמות (ב) מסלול סל אג""ח",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,5.0794,9,75.5
gemel,1081,אינפיניטי השתלמות (ב) מסלול סל מנייתי,קרנות השתלמות,מניות אקטיבי,קרנות השתלמות | מניות אקטיבי,2010,6.0425,9,32.2
gemel,1082,"אינפיניטי השתלמות (ל) מסלול סל אג""ח",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,5.1476,9,20.4
gemel,1083,אינפיניטי השתלמות כללי,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,5.5929,9,25.9
gemel,1084,"אינפיניטי השתלמות אשראי ואג""ח",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,4.9754,9,160.0
gemel,1085,אינפיניטי השתלמות מניות בישראל,קרנות השתלמות,מניות אקטיבי,קרנות השתלמות | מניות אקטיבי,2010,6.3114,9,58.8
gemel,1098,"מיטב השתלמות מסלול אג""ח",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,8.1002,12,14.1
gemel,1100,"הפניקס השתלמות אשראי ואג""ח עם מניות (עד 25% מניות)",קרנות השתלמות,עד 25% מניות,קרנות השתלמות | עד 25% מניות,2010,0.23,1,739.8
gemel,1103,אקסלנס גמל מניות,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,5.37,1,71.9
gemel,111,מיטב מירון,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,10.3869,12,717.5
gemel,1110,"מנורה מבטחים השתלמות מסלול אג""ח קונצרני",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,8.6492,12,25.0
gemel,1114,מנורה מבטחים השתלמות כספי (שקלי),קרנות השתלמות,כספי,קרנות השתלמות | כספי,2010,2.1806,12,56.3
gemel,1116,מיטב גמל פלוס,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,10.6755,12,125.5
gemel,1117,מיטב השתלמות פלוס,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,10.7888,12,31.8
gemel,1119,"מיטב תגמולים מסלול אג""ח",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,8.4438,12,20.8
gemel,1120,מיטב דינאמית גמל מסלול כללי,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,11.0372,12,319.3
gemel,1122,כלל גמל מניות,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,16.1917,12,23.3
gemel,1124,כלל גמל מדד,תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,8.6392,12,100.6
gemel,1127,כלל גמל שקלי טווח קצר,תגמולים ואישית לפיצויים,כספי,תגמולים ואישית לפיצויים | כספי,2010,1.5811,12,32.0
