domain,category,signal_years,y1_mean_pctile,y1_beat_median_pct,y2_mean_pctile,y3_mean_pctile,y1_events
gemel,קרנות השתלמות | נמוך מאוד,16,63.5,69.2,40.8,33.4,13
gemel,קרנות השתלמות | נמוך,16,61.9,61.5,55.3,61.0,13
gemel,קרנות השתלמות | נמוך-בינוני,16,52.5,57.1,67.0,61.8,14
gemel,קרנות השתלמות | בינוני,16,51.0,46.7,70.7,68.4,15
gemel,קרנות השתלמות | גבוה,16,64.6,69.2,56.6,35.9,13
gemel,תגמולים ואישית לפיצויים | נמוך מאוד,16,57.6,61.5,59.7,55.0,13
gemel,תגמולים ואישית לפיצויים | נמוך,16,45.8,42.9,42.4,58.6,14
gemel,תגמולים ואישית לפיצויים | נמוך-בינוני,16,49.2,50,58.7,57.0,14
gemel,תגמולים ואישית לפיצויים | בינוני,16,49.4,46.7,53.5,64.1,15
gemel,תגמולים ואישית לפיצויים | גבוה,16,51.0,50,57.9,42.5,14
gemel,קופת גמל להשקעה | נמוך מאוד,9,60.5,62.5,40.0,30.7,8
gemel,קופת גמל להשקעה | נמוך,9,55.3,50,56.8,46.4,8
gemel,קופת גמל להשקעה | נמוך-בינוני,9,43.7,25,42.4,65.3,8
gemel,קופת גמל להשקעה | בינוני,9,58.9,50,66.8,60.4,8
gemel,קופת גמל להשקעה | גבוה,9,55.9,50,47.9,38.2,8
gemel,קופת גמל להשקעה - חסכון לילד | נמוך,8,57.1,42.9,41.7,32.0,7
gemel,קופת גמל להשקעה - חסכון לילד | בינוני,8,48.2,42.9,67.9,66.2,7
gemel,קופת גמל להשקעה - חסכון לילד | גבוה,8,67.0,71.4,38.6,42.0,7
