domain,category,signal_year,winner_fund_id,winner_name,signal_return,signal_n,y1_year,y1_status,y1_return,y1_rank,y1_n,y1_percentile,y2_year,y2_status,y2_return,y2_rank,y2_n,y2_percentile,y3_year,y3_status,y3_return,y3_rank,y3_n,y3_percentile
gemel,קרנות השתלמות | נמוך מאוד,2010,1407,"מנורה מבטחים השתלמות מסלול אג""ח ממשלתי צמוד",6.47,11,2011,present,3.56,1,12,100.0,2012,present,7.78,1,10,100.0,2013,present,3.44,1,15,100.0
gemel,קרנות השתלמות | נמוך מאוד,2011,1407,"מנורה מבטחים השתלמות מסלול אג""ח ממשלתי צמוד",3.56,12,2012,present,7.78,1,10,100.0,2013,present,3.44,1,15,100.0,2014,present,3.85,6,21,75.0
gemel,קרנות השתלמות | נמוך מאוד,2012,1407,"מנורה מבטחים השתלמות מסלול אג""ח ממשלתי צמוד",7.78,10,2013,present,3.44,1,15,100.0,2014,present,3.85,6,21,75.0,2015,present,-0.16,15,19,22.2
gemel,קרנות השתלמות | נמוך מאוד,2013,1407,"מנורה מבטחים השתלמות מסלול אג""ח ממשלתי צמוד",3.44,15,2014,present,3.85,6,21,75.0,2015,present,-0.16,15,19,22.2,2016,absent,,,12,
gemel,קרנות השתלמות | נמוך מאוד,2014,2125,השתלמות שיטת הפניקס אגח ממשלתי שקלי ריבית קבועה +5,14.59,21,2015,present,5.65,1,19,100.0,2016,absent,,,12,,2017,absent,,,13,
gemel,קרנות השתלמות | נמוך מאוד,2015,2125,השתלמות שיטת הפניקס אגח ממשלתי שקלי ריבית קבועה +5,5.65,19,2016,absent,,,12,,2017,absent,,,13,,2018,absent,,,12,
gemel,קרנות השתלמות | נמוך מאוד,2016,1057,"איילון השתלמות מסלול אג""ח",2.03,12,2017,absent,,,13,,2018,absent,,,12,,2019,absent,,,12,
gemel,קרנות השתלמות | נמוך מאוד,2017,8702,"מור השתלמות - מסלול עוקב מדד ""מדדיות ממשלתיות לטווח של 5-10 שנים""",4.51,13,2018,present,-1.37,11,12,9.1,2019,present,8.6,2,12,90.9,2020,present,-0.62,11,12,9.1
gemel,קרנות השתלמות | נמוך מאוד,2018,2058,הפניקס השתלמות שריעה,2.06,12,2019,present,-0.53,12,12,0.0,2020,present,-0.71,12,12,0.0,2021,present,-1.82,11,11,0.0
gemel,קרנות השתלמות | נמוך מאוד,2019,8703,"מור השתלמות - מסלול עוקב מדד ""שקליות ריבית קבועה ממשלתיות""",8.88,12,2020,present,0.34,2,12,90.9,2021,present,-0.9,10,11,10.0,2022,present,-9.16,10,11,10.0
gemel,קרנות השתלמות | נמוך מאוד,2020,1370,מיטב השתלמות כספי (שקלי),0.57,12,2021,present,0.28,3,11,80.0,2022,present,-0.09,7,11,40.0,2023,present,4.04,7,11,40.0
gemel,קרנות השתלמות | נמוך מאוד,2021,8702,"מור השתלמות - מסלול עוקב מדד ""מדדיות ממשלתיות לטווח של 5-10 שנים""",7.12,11,2022,present,-10.53,11,11,0.0,2023,present,1.05,11,11,0.0,2024,absent,,,10,
gemel,קרנות השתלמות | נמוך מאוד,2022,8705,מור קרן השתלמות לשכירים ולעצמאים - כספי (שקלי),0.92,11,2023,present,4.21,4,11,70.0,2024,present,4.27,9,10,11.1,2025,present,4.39,9,10,11.1
gemel,קרנות השתלמות | נמוך מאוד,2023,2058,הפניקס השתלמות שריעה,17.12,11,2024,present,24.5,1,10,100.0,2025,present,4.21,10,10,0.0,,no_data,,,,
gemel,קרנות השתלמות | נמוך מאוד,2024,2058,הפניקס השתלמות שריעה,24.5,10,2025,present,4.21,10,10,0.0,,no_data,,,,,,no_data,,,,
gemel,קרנות השתלמות | נמוך מאוד,2025,1351,כלל השתלמות כספי(שקלי),5.21,10,,no_data,,,,,,no_data,,,,,,no_data,,,,
gemel,קרנות השתלמות | נמוך,2010,1406,"מנורה מבטחים השתלמות מסלול אג""ח קונצרניות",10.98,31,2011,present,0.3,35,36,2.9,2012,present,9.61,2,31,96.7,2013,present,6.98,3,37,94.4
gemel,קרנות השתלמות | נמוך,2011,800,"אקסלנס עדי - מסלול מט""ח טווח קצר",7.39,36,2012,absent,,,31,,2013,absent,,,37,,2014,absent,,,34,
gemel,קרנות השתלמות | נמוך,2012,1491,"אינפיניטי השתלמות אג""ח קונצרני",9.85,31,2013,present,8.48,2,37,97.2,2014,present,-1.08,34,34,0.0,2015,present,2.92,2,39,97.4
gemel,קרנות השתלמות | נמוך,2013,1510,"השתלמות שיטת הפניקס סל עוקב מדד אג""ח לא צמוד ריבית קבועה",8.75,37,2014,present,5.8,4,34,90.9,2015,present,1.46,12,39,71.1,2016,absent,,,32,
gemel,קרנות השתלמות | נמוך,2014,1408,"מנורה מבטחים השתלמות מסלול אג""ח ממשלת ישראל",7.51,34,2015,present,1.61,11,39,73.7,2016,present,0.74,27,32,16.1,2017,present,3.42,21,33,37.5
gemel,קרנות השתלמות | נמוך,2015,2127,השתלמות שיטת הפניקס סל עוקב תל בונד שקלי,4.8,39,2016,absent,,,32,,2017,absent,,,33,,2018,absent,,,29,
gemel,קרנות השתלמות | נמוך,2016,1354,"הפניקס השתלמות - מסלול אג""ח",6.5,32,2017,present,4.7,6,33,84.4,2018,absent,,,29,,2019,absent,,,27,
gemel,קרנות השתלמות | נמוך,2017,8704,"מור השתלמות - מסלול עוקב מדד ""תל בונד 20""",6.91,33,2018,present,-0.96,22,29,25.0,2019,present,7.57,8,27,73.1,2020,present,-0.54,26,28,7.4
gemel,קרנות השתלמות | נמוך,2018,1319,"ילין לפידות קרן השתלמות מסלול אשראי ואג""ח",1.67,29,2019,present,5.08,22,27,19.2,2020,present,1.22,13,28,55.6,2021,present,4.53,9,22,61.9
gemel,קרנות השתלמות | נמוך,2019,1378,"אלטשולר שחם השתלמות אשראי ואג""ח",8.65,27,2020,present,4.33,1,28,100.0,2021,present,3.54,14,22,38.1,2022,present,-3.11,5,22,81.0
gemel,קרנות השתלמות | נמוך,2020,1378,"אלטשולר שחם השתלמות אשראי ואג""ח",4.33,28,2021,present,3.54,14,22,38.1,2022,present,-3.11,5,22,81.0,2023,present,4.51,11,20,47.4
gemel,קרנות השתלמות | נמוך,2021,8704,"מור השתלמות - מסלול עוקב מדד ""תל בונד 20""",7.69,22,2022,present,-9.32,22,22,0.0,2023,present,4.66,10,20,52.6,2024,absent,,,17,
gemel,קרנות השתלמות | נמוך,2022,11928,"סלייס השתלמות אג""ח אג""ח",4.53,22,2023,present,5.07,4,20,84.2,2024,present,4.56,11,17,37.5,2025,absent,,,23,
gemel,קרנות השתלמות | נמוך,2023,1084,"אינפיניטי השתלמות אשראי ואג""ח",7.35,20,2024,present,7.6,2,17,93.8,2025,present,6.98,4,23,86.4,,no_data,,,,
gemel,קרנות השתלמות | נמוך,2024,14483,"מור קרן השתלמות לשכירים ולעצמאים - אשראי ואג""ח",9.71,17,2025,present,8.73,2,23,95.5,,no_data,,,,,,no_data,,,,
gemel,קרנות השתלמות | נמוך,2025,15237,"מור קרן השתלמות לשכירים ולעצמאים מתמחים באפיקי השקעה סחירים אג""ח סחיר",9.24,23,,no_data,,,,,,no_data,,,,,,no_data,,,,
gemel,קרנות השתלמות | נמוך-בינוני,2010,599,"מגדל השתלמות מסלול אג""ח עד 10% מניות",11.94,9,2011,absent,,,10,,2012,absent,,,10,,2013,present,4.11,13,16,20.0
gemel,קרנות השתלמות | נמוך-בינוני,2011,796,"אקסלנס השתלמות מט""ח",6.04,10,2012,present,-1.13,10,10,0.0,2013,present,-5.81,14,16,13.3,2014,present,21.54,1,22,100.0
gemel,קרנות השתלמות | נמוך-בינוני,2012,1038,"ילין לפידות קרן השתלמות מסלול אג""ח עם מניות (עד 25% מניות)",10.86,10,2013,present,9.98,3,16,86.7,2014,present,6.14,7,22,71.4,2015,present,1.67,11,25,58.3
gemel,קרנות השתלמות | נמוך-בינוני,2013,1190,"הפניקס השתלמות אג""ח עד 25% מניות",12.49,16,2014,present,5.31,11,22,52.4,2015,present,2.64,1,25,100.0,2016,present,2.56,10,22,57.1
gemel,קרנות השתלמות | נמוך-בינוני,2014,796,"אקסלנס השתלמות מט""ח",21.54,22,2015,present,-0.12,24,25,4.2,2016,absent,,,22,,2017,absent,,,25,
gemel,קרנות השתלמות | נמוך-בינוני,2015,1190,"הפניקס השתלמות אג""ח עד 25% מניות",2.64,25,2016,present,2.56,10,22,57.1,2017,present,6.16,5,25,83.3,2018,present,-0.77,11,24,56.5
gemel,קרנות השתלמות | נמוך-בינוני,2016,1038,"ילין לפידות קרן השתלמות מסלול אג""ח עם מניות (עד 25% מניות)",4.98,22,2017,present,4.54,22,25,12.5,2018,present,0.39,1,24,100.0,2019,present,8.97,13,23,45.5
