fund_id,fund_name,classification,specialization,sub_specialization,risk_level,risk_source,equity_pct_median,std_dev_median,months
510,יובלים - קופת גמל לחגים והבראה,מטרה אחרת,כללי,כללי,בינוני,map,8.6,2.87,99
586,יובלים - קופת גמל לחופשה,מטרה אחרת,כללי,כללי,בינוני,map,0.0,2.53,98
526,מבטחים - קופת גמל למחלה ותאונה,מטרה אחרת,כללי,כללי,בינוני,track,35.6,5.76,192
1154,"מבטחים קופת גמל למטרות חופשה, חגים והבראה",מטרה אחרת,כללי,כללי,בינוני,track,24.3,5.47,192
513,קרן מקפת - קרנות למטרה אחרת,מטרה אחרת,כללי,כללי,בינוני,track,35.5,5.71,192
1101,"משכית מסלול חו""ל",מרכזית לפיצויים,ללא סיווג,"חו""ל",,,,,1
429,אי.בי.אי - נגב קופה מרכזית לפיצויים רב מסלולית,מרכזית לפיצויים,כללי,כללי,בינוני,track,20.0,,108
1206,אי.בי.אי מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,כללי,כללי,בינוני,track,25.4,4.44,108
9482,אי.בי.אי. - קופת גמל מרכזית להשתתפות בפנסיה תקציבית כללי כללי,מרכזית לפיצויים,כללי,כללי,בינוני,map,,,31
1072,איילון לפיצויים מסלול כללי,מרכזית לפיצויים,כללי,כללי,בינוני,track,35.5,6.62,2
512,איילון מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,כללי,כללי,בינוני,map,35.5,5.18,42
1539,אינפיניטי פיצויים רבת מסלולים,מרכזית לפיצויים,כללי,כללי,בינוני,track,27.0,,175
9539,אינפיניטי קופת גמל לפנסיה תקציבית _x000D_,מרכזית לפיצויים,כללי,כללי,בינוני,map,,,14
748,איפקס קופה מרכזית לפיצויים,מרכזית לפיצויים,כללי,כללי,בינוני,track,30.0,8.25,55
1268,אלומות מסלולית לפיצויים מסלול כללי,מרכזית לפיצויים,כללי,כללי,בינוני,track,28.3,,3
1912,אלטשולר שחם לפנסיה תקציבית מסלול כללי,מרכזית לפיצויים,כללי,כללי,בינוני,map,40.9,7.68,119
1094,אלטשולר שחם פיצויים כללי,מרכזית לפיצויים,כללי,כללי,בינוני,track,38.3,6.05,163
754,אלטשולר שחם קופה מרכזית לפיצויים,מרכזית לפיצויים,כללי,כללי,בינוני,track,31.1,9.25,4
219,אלמוג קופה מרכזית לפיצויים ליד כלל ישראל,מרכזית לפיצויים,כללי,כללי,בינוני,map,34.4,5.14,130
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,כללי,כללי,בינוני,track,35.4,6.64,192
173,אקסלנס טפחות מרכזית,מרכזית לפיצויים,כללי,כללי,בינוני,track,31.3,7.08,37
687,אקסלנס מרכזית לפיצויים,מרכזית לפיצויים,כללי,כללי,בינוני,track,31.5,8.81,37
802,אקסלנס משכית - מסלול כללי,מרכזית לפיצויים,כללי,כללי,בינוני,track,43.1,7.78,37
404,אשכול קופה מרכזית לפיצויי פיטורין מסלול כללי,מרכזית לפיצויים,כללי,כללי,בינוני,track,32.2,8.96,16
952,אתגרים לפיצויים - מסלול כללי,מרכזית לפיצויים,כללי,כללי,בינוני,map,21.3,8.41,7
1315,גאון גמל מרכזית להשתתפות בפנסיה תקציבית,מרכזית לפיצויים,כללי,כללי,בינוני,map,,,3
617,גליל - קופת מסלולים מרכזית לפיצויים,מרכזית לפיצויים,כללי,כללי,בינוני,track,10.1,,6
553,דש - מרכזית לפיצויים,מרכזית לפיצויים,כללי,כללי,בינוני,track,31.0,5.75,13
461,דש דור ברגר קופת פיצויים,מרכזית לפיצויים,כללי,כללי,בינוני,track,30.7,4.56,13
138,דש קפיטל קופת גמל מרכזית לפיצויים,מרכזית לפיצויים,כללי,כללי,בינוני,track,29.4,5.3,13
268,הביטחון-קופת גמל מרכזית לפיצויים,מרכזית לפיצויים,כללי,כללי,בינוני,track,37.0,6.5,2
1003,הדס ארזים אפסילון מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,כללי,כללי,בינוני,track,24.9,10.93,42
1314,הדס ארזים קופת גמל מרכזית להשתתפות בפנסיה תקציבית,מרכזית לפיצויים,כללי,כללי,בינוני,map,10.0,,66
684,הדס קופה מרכזית לפיצויים,מרכזית לפיצויים,כללי,כללי,בינוני,track,21.3,,192
262,הלמן-אלדובי מרכזית לפיצויים כללי,מרכזית לפיצויים,כללי,כללי,בינוני,map,23.2,3.6,142
9418,הפניקס גמל מסלולית לפיצויים רבת מסלולים,מרכזית לפיצויים,כללי,כללי,בינוני,map,39.9,,126
954,הפניקס מרכזית,מרכזית לפיצויים,כללי,כללי,בינוני,map,15.6,3.07,86
242,הפניקס מרכזית לפיצויים,מרכזית לפיצויים,כללי,כללי,בינוני,track,35.2,6.67,181
8765,הפניקס מרכזית לפיצויים מחקה מדדים,מרכזית לפיצויים,כללי,כללי,בינוני,map,38.4,6.72,132
384,הפניקס מרכזית לפיצויים עד 15% מניות,מרכזית לפיצויים,כללי,כללי,בינוני,track,13.2,3.27,181
682,הפניקס מרכזית לפיצויים רב מסלולית- סנונית,מרכזית לפיצויים,כללי,כללי,בינוני,track,15.9,,192
9484,הפניקס קופת גמל מרכזית להשתתפות בפנסיה תקציבית,מרכזית לפיצויים,כללי,כללי,בינוני,map,0.0,8.64,108
616,הראל עדי גמל מסלולית לפיצויים,מרכזית לפיצויים,כללי,כללי,בינוני,map,20.1,,145
1223,הראל עדי פיצויים בטא,מרכזית לפיצויים,כללי,כללי,בינוני,map,45.0,6.52,145
