domain,category,n_eq,winner_equity_pctile,n_vol,winner_vol_pctile
gemel,קרנות השתלמות | נמוך מאוד,15,13.3,10,80.8
gemel,קרנות השתלמות | נמוך,15,36.3,8,60.7
gemel,קרנות השתלמות | נמוך-בינוני,16,71.4,12,75.1
gemel,קרנות השתלמות | בינוני,16,51.7,11,67.3
gemel,קרנות השתלמות | גבוה,16,38.6,4,88.3
gemel,תגמולים ואישית לפיצויים | נמוך מאוד,15,19.6,12,76.1
gemel,תגמולים ואישית לפיצויים | נמוך,15,47.7,11,73.6
gemel,תגמולים ואישית לפיצויים | נמוך-בינוני,16,68.9,11,77.5
gemel,תגמולים ואישית לפיצויים | בינוני,16,70.7,9,83.2
gemel,תגמולים ואישית לפיצויים | גבוה,16,32.0,9,63.2
gemel,קופת גמל להשקעה | נמוך מאוד,8,0.0,5,62.8
gemel,קופת גמל להשקעה | נמוך,8,56.8,4,61.1
gemel,קופת גמל להשקעה | נמוך-בינוני,9,66.0,1,63.6
gemel,קופת גמל להשקעה | בינוני,9,35.4,4,34.2
gemel,קופת גמל להשקעה | גבוה,9,37.4,2,80.0
gemel,קופת גמל להשקעה - חסכון לילד | נמוך,8,77.4,4,41.7
gemel,קופת גמל להשקעה - חסכון לילד | בינוני,7,79.4,4,42.0
gemel,קופת גמל להשקעה - חסכון לילד | גבוה,8,39.4,4,26.7
POOLED,,222,46.3,125,68.3
