test,n,clusters,estimate,ci_low,ci_high,p_vs_null,null
persistence_pctile_y1,212,15,57.7,47.5,67.2,0.1334,50
persistence_pctile_y2,184,14,61.2,54.4,69.1,0.0007,50
persistence_pctile_y3,149,13,54.3,46.9,63.3,0.2754,50
beat_median_y1,212,15,57.1,44.0,68.8,0.2839,50
beat_median_y2,184,14,63.6,55.2,72.9,0.0011,50
beat_median_y3,149,13,50.3,41.1,61.3,0.9651,50
persistence_stress_y1,222,15,55.1,46.0,63.6,0.2769,50
persistence_stress_y2,201,14,56.0,49.4,63.0,0.0757,50
persistence_stress_y3,181,13,44.7,37.8,52.0,0.1559,50
gap_ALL,222,15,1.12,-0.19,2.52,0.0994,0
gap_קרן השתלמות,78,15,1.39,0.16,2.74,0.0221,0
gap_קופת גמל,80,15,0.86,-0.36,2.32,0.1939,0
gap_גמל להשקעה,43,8,1.9,0.08,3.88,0.0399,0
gap_חיסכון לכל ילד,21,7,-0.42,-2.99,1.82,0.7758,0
"gap_גמל להשקעה · אג""ח ללא מניות",8,8,0.45,-0.94,1.99,0.5757,0
gap_גמל להשקעה · כללי/מעורב/גמיש/תלוי גיל,8,8,5.75,0.0,13.88,0.0491,0
gap_גמל להשקעה · כספי,4,4,0.12,-0.34,0.5,0.5055,0
gap_גמל להשקעה · מניות אקטיבי,8,8,2.97,-0.4,7.4,0.0966,0
gap_גמל להשקעה · מניות פאסיבי,7,7,1.2,-0.61,2.83,0.1813,0
gap_גמל להשקעה · עד 25% מניות,8,8,-0.09,-0.91,0.81,0.817,0
gap_חיסכון לכל ילד · כללי/מעורב/גמיש/תלוי גיל,7,7,-2.33,-6.24,1.08,0.2112,0
gap_חיסכון לכל ילד · מניות אקטיבי,7,7,0.32,-3.43,4.02,0.8809,0
gap_חיסכון לכל ילד · עד 25% מניות,7,7,0.74,-0.52,2.04,0.2662,0
"gap_קופת גמל · אג""ח ללא מניות",15,15,-0.33,-1.69,0.91,0.6345,0
gap_קופת גמל · כללי/מעורב/גמיש/תלוי גיל,15,15,2.68,-1.38,8.04,0.2551,0
gap_קופת גמל · כספי,15,15,1.16,0.14,2.16,0.0286,0
gap_קופת גמל · מניות אקטיבי,15,15,1.06,-1.68,4.92,0.6048,0
gap_קופת גמל · מניות פאסיבי,7,7,-0.83,-2.95,1.13,0.4349,0
gap_קופת גמל · עד 25% מניות,13,13,0.44,-0.3,1.25,0.2773,0
"gap_קרן השתלמות · אג""ח ללא מניות",15,15,0.22,-0.91,1.41,0.7215,0
gap_קרן השתלמות · כללי/מעורב/גמיש/תלוי גיל,15,15,2.64,-1.12,7.99,0.2536,0
gap_קרן השתלמות · כספי,15,15,0.64,0.17,1.29,0.0001,0
gap_קרן השתלמות · מניות אקטיבי,15,15,2.36,-0.24,5.75,0.0871,0
gap_קרן השתלמות · מניות פאסיבי,4,4,2.24,0.38,5.05,0.0078,0
gap_קרן השתלמות · עד 25% מניות,14,14,0.81,0.1,1.56,0.0193,0
gap_ALL (survivors only),212,15,1.18,-0.2,2.64,0.1045,0
gap_ALL survivors excl 2020_2025,175,13,0.19,-0.7,1.06,0.6718,0
cagr_gap_ex_2020_2025,21,13,0.13,,,,0
