domain,category,years,n_years,chase_total_pct,stay_total_pct,chase_annualized_pct,stay_annualized_pct,gap_annualized_pp
gemel,קרנות השתלמות | כספי/מבטיח תשואה,2011-2025,15,38.7,26.2,2.2,1.57,0.64
gemel,"קרנות השתלמות | אג""ח ללא מניות",2011-2025,15,57.6,54.0,3.08,2.92,0.16
gemel,קרנות השתלמות | עד 25% מניות,2012-2025,14,104.6,84.1,5.25,4.45,0.79
gemel,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2011-2025,15,203.5,125.4,7.68,5.57,2.12
gemel,קרנות השתלמות | מניות פאסיבי,2015-2025,4,77.5,64.8,15.42,13.31,2.11
gemel,קרנות השתלמות | מניות אקטיבי,2011-2025,15,361.5,246.2,10.73,8.63,2.1
gemel,תגמולים ואישית לפיצויים | כספי/מבטיח תשואה,2011-2025,15,50.3,27.3,2.75,1.62,1.13
gemel,"תגמולים ואישית לפיצויים | אג""ח ללא מניות",2011-2025,15,46.2,54.9,2.56,2.96,-0.4
gemel,תגמולים ואישית לפיצויים | עד 25% מניות,2011-2023,13,71.1,62.6,4.22,3.81,0.41
gemel,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2011-2025,15,208.8,128.7,7.81,5.67,2.14
gemel,תגמולים ואישית לפיצויים | מניות פאסיבי,2015-2025,7,66.1,74.5,7.51,8.28,-0.76
gemel,תגמולים ואישית לפיצויים | מניות אקטיבי,2011-2025,15,301.7,261.6,9.71,8.95,0.77
gemel,קופת גמל להשקעה | כספי/מבטיח תשואה,2022-2025,4,14.5,14.0,3.45,3.34,0.11
gemel,"קופת גמל להשקעה | אג""ח ללא מניות",2018-2025,8,25.3,21.7,2.86,2.49,0.37
gemel,קופת גמל להשקעה | עד 25% מניות,2018-2025,8,36.0,37.2,3.92,4.04,-0.12
gemel,קופת גמל להשקעה | כללי/מעורב/גמיש/תלוי גיל,2018-2025,8,139.6,65.6,11.54,6.51,5.03
gemel,קופת גמל להשקעה | מניות פאסיבי,2019-2025,7,135.4,119.7,13.01,11.9,1.11
gemel,קופת גמל להשקעה | מניות אקטיבי,2018-2025,8,206.0,151.7,15.01,12.23,2.77
gemel,קופת גמל להשקעה - חסכון לילד | עד 25% מניות,2019-2025,7,47.3,40.3,5.69,4.96,0.73
gemel,קופת גמל להשקעה - חסכון לילד | כללי/מעורב/גמיש/תלוי גיל,2019-2025,7,39.4,62.7,4.85,7.2,-2.35
gemel,קופת גמל להשקעה - חסכון לילד | מניות אקטיבי,2019-2025,7,140.3,139.1,13.35,13.26,0.08
