sub_specialization,risk_level,funds,equity_pct_median,std_dev_median,source,note,specializations,mapped_funds,map_no_data,map_agreement,map_distribution,equity_pct_p25,equity_pct_p75
"אג""ח לא צמוד",נמוך מאוד,1,0.0,3.8,מיפוי קופות,,"אג""ח (1)",1,0,100%,נמוך מאוד 1,0.0,0.0
"אג""ח ממשלות",נמוך מאוד,15,0.0,2.13,מיפוי קופות,,מתמחים בניהול אקטיבי (15),3,0,67%,נמוך מאוד 2 · נמוך 1,0.0,0.0
"אג""ח ממשלתי",נמוך מאוד,28,0.0,3.08,מיפוי קופות,,"אג""ח (28)",18,0,78%,נמוך מאוד 14 · נמוך 4,0.0,0.0
טווח קצר,נמוך מאוד,2,0.0,0.51,חשיפה מנייתית,מיפוי הקופות אינו חד־משמעי — הרמה נקבעה לפי החשיפה בפועל,שיקלי (2),2,0,50%,נמוך מאוד 1 · נמוך 1,0.0,0.0
כספי (שקלי),נמוך מאוד,27,0.0,0.52,מיפוי קופות,,מתמחים בניהול אקטיבי (27),15,0,100%,נמוך מאוד 15,0.0,0.0
כספית,נמוך מאוד,11,0.0,0.23,מיפוי קופות,,שיקלי (11),6,0,100%,נמוך מאוד 6,0.0,0.0
מבטיח תשואה,נמוך מאוד,9,0.0,,מיפוי קופות,,מבטיח תשואה (9),1,0,100%,נמוך מאוד 1,0.0,0.0
ממשלתי,נמוך מאוד,2,0.0,0.86,מיפוי קופות,,כללי (2),1,0,100%,נמוך מאוד 1,0.0,0.0
שקלי טווח קצר,נמוך מאוד,16,0.0,0.6,מיפוי קופות,,שיקלי (16),5,0,100%,נמוך מאוד 5,0.0,0.0
חיסכון לילד -חוסכים המעדיפים סיכון מועט,נמוך,12,17.3,5.21,מיפוי קופות,נשמרה הרמה שבמיפוי הקופות; החשיפה בפועל (17%) מתאימה ל־נמוך-בינוני,"מודל חכ""מ אחר (12)",12,0,100%,נמוך 12,9.5,21.6
"אשראי ואג""ח",נמוך,58,2.8,3.41,חשיפה מנייתית,מיפוי הקופות אינו חד־משמעי — הרמה נקבעה לפי החשיפה בפועל,מתמחים בניהול אקטיבי (58),28,0,50%,נמוך 13 · נמוך-בינוני 14 · גבוה 1,0.0,18.5
"אג""ח סחיר",נמוך,21,0.2,,מיפוי קופות,מסלול לא אחיד: חשיפה מנייתית 0%–22% (מופיע תחת מתמחים באפיקי השקעה סחירים) — רמה אחת היא קירוב,מתמחים באפיקי השקעה סחירים (21),13,0,69%,נמוך 9 · נמוך-בינוני 4,0.0,21.6
"אג""ח",נמוך,77,0.0,3.46,חשיפה מנייתית,מיפוי הקופות אינו חד־משמעי — הרמה נקבעה לפי החשיפה בפועל,"אג""ח (74) · מדד (3)",41,0,44%,נמוך מאוד 18 · נמוך 18 · נמוך-בינוני 5,0.0,4.4
"אג""ח ישראל",נמוך,3,,,מיפוי קופות,,מדד (3),3,0,100%,נמוך 3,,
"אג""ח ללא מניות",נמוך,15,0.0,2.46,מיפוי קופות,,"אג""ח (15)",4,0,100%,נמוך 4,0.0,0.0
"אג""ח צמוד מדד",נמוך,9,0.0,3.13,מיפוי קופות,,"אג""ח (9)",5,0,100%,נמוך 5,0.0,0.4
"אג""ח צמוד מדד בינוני",נמוך,3,0.0,4.73,חשיפה מנייתית,"מיפוי הקופות נטה ל־בינוני (3 מתוך 3 קופות), אך החשיפה בפועל (0%) רחוקה ממנה ביותר מרמה אחת","אג""ח (3)",3,0,67%,נמוך מאוד 1 · בינוני 2,0.0,0.0
"אג""ח קונצרניות",נמוך,15,0.0,4.61,מיפוי קופות,,"אג""ח (15)",15,0,87%,נמוך 13 · נמוך-בינוני 2,0.0,0.0
הלכה איסלאמית,נמוך,6,0.0,3.78,חשיפה מנייתית,"4 קופות מסומנות ""ללא נתון"" במיפוי — הרמה נגזרה מהתנהגות הקופות",הלכתי (6),0,4,,,0.0,0.0
טווח ארוך,נמוך,1,0.0,4.55,חשיפה מנייתית,,"אג""ח (1)",0,0,,,0.0,0.0
טווח בינוני,נמוך,1,0.0,4.53,חשיפה מנייתית,,"אג""ח (1)",0,0,,,0.0,0.0
ללא מניות,נמוך,6,0.0,2.6,מיפוי קופות,,כללי (6),3,0,100%,נמוך 3,0.0,0.0
מדד,נמוך,23,0.0,3.59,מיפוי קופות,,מדד (23),13,0,69%,נמוך 9 · נמוך-בינוני 1 · גבוה 3,0.0,0.0
מדד טווח ארוך,נמוך,1,0.0,3.67,מיפוי קופות,,מדד (1),1,0,100%,נמוך 1,0.0,0.0
מדד ללא מניות,נמוך,1,0.0,3.5,מיפוי קופות,,מדד (1),1,0,100%,נמוך 1,0.0,0.0
"עוקב מדדי אג""ח",נמוך,19,0.0,5.72,חשיפה מנייתית,מסלול לא אחיד: חשיפה מנייתית 0%–21% (מופיע תחת עוקבי מדדים) — רמה אחת היא קירוב; מיפוי הקופות אינו חד־משמעי — הרמה נקבעה לפי החשיפה בפועל,עוקבי מדדים (19),9,0,56%,נמוך 4 · נמוך-בינוני 5,0.0,20.5
שקלי,נמוך,30,0.0,2.56,מיפוי קופות,,שיקלי (30),19,0,100%,נמוך 19,0.0,0.0
60 ומעלה,נמוך-בינוני,20,21.1,5.27,מיפוי קופות,,מדרגות (20),16,0,100%,נמוך-בינוני 16,19.3,23.4
משולב במניות - פאסיבי,נמוך-בינוני,7,15.3,5.11,מיפוי קופות,,"אג""ח (7)",7,0,86%,נמוך-בינוני 6 · בינוני 1,9.9,23.8
משולב מניות,נמוך-בינוני,33,13.7,3.88,מיפוי קופות,,"אג""ח (33)",28,0,96%,נמוך-בינוני 27 · בינוני 1,10.0,19.7
עד 10% מניות,נמוך-בינוני,7,9.1,3.43,מיפוי קופות,,כללי (7),2,0,100%,נמוך-בינוני 2,7.8,9.3
"מט""ח",נמוך-בינוני,16,0.0,7.92,מיפוי קופות,,"מט""ח (16)",9,0,100%,נמוך-בינוני 9,0.0,0.2
"מט""ח דולרי",נמוך-בינוני,1,,,מיפוי קופות,,"מט""ח (1)",1,0,100%,נמוך-בינוני 1,,
"מט""ח טווח קצר",נמוך-בינוני,3,0.0,9.48,מיפוי קופות,,"מט""ח (3)",1,0,100%,נמוך-בינוני 1,0.0,0.0
משולב סחיר,בינוני,33,48.8,5.74,מיפוי קופות,,"מתמחים באפיקי השקעה סחירים (31) · מודל חכ""מ אחר (2)",16,0,100%,בינוני 16,45.3,54.7
עד 50,בינוני,19,48.6,8.09,מיפוי קופות,,מדרגות (19),18,0,100%,בינוני 18,44.6,51.7
עוקב מדדים - גמיש,בינוני,31,48.1,7.13,מיפוי קופות,,עוקבי מדדים (31),17,0,100%,בינוני 17,43.0,49.9
עוקב מדדים גמיש,בינוני,3,46.9,,מיפוי קופות,,מדד (3),2,0,100%,בינוני 2,45.3,48.4
חיסכון לילד -חוסכים המעדיפים סיכון בינוני,בינוני,11,41.5,7.97,מיפוי קופות,,"מודל חכ""מ אחר (11)",11,0,100%,בינוני 11,38.5,42.4
50-60,בינוני,18,40.1,7.03,מיפוי קופות,,מדרגות (18),15,0,100%,בינוני 15,36.3,41.1
הלכה יהודית,בינוני,36,38.8,7.0,חשיפה מנייתית,"24 קופות מסומנות ""ללא נתון"" במיפוי — הרמה נגזרה מהתנהגות הקופות",הלכתי (36),0,24,,,36.3,42.3
פאסיבי,בינוני,27,36.9,5.66,חשיפה מנייתית,"מסלול לא אחיד: חשיפה מנייתית 0%–96% (מופיע תחת כללי · אג""ח · מניות) — רמה אחת היא קירוב; מיפוי הקופות אינו חד־משמעי — הרמה נקבעה לפי החשיפה בפועל","כללי (10) · אג""ח (8) · מניות (7) · חו""ל (2)",26,0,38%,נמוך 8 · בינוני 8 · גבוה 10,0.0,95.8
"חו""ל",בינוני,30,34.8,5.64,חשיפה מנייתית,"מיפוי הקופות נטה ל־נמוך (1 מתוך 30 קופות), אך החשיפה בפועל (35%) רחוקה ממנה ביותר מרמה אחת","ללא סיווג (21) · חו""ל (6) · מדד (3)",1,24,100%,נמוך 1,33.8,37.7
אוכלוסיית יעד,בינוני,8,34.6,5.7,מיפוי קופות,,מתמחה אחר (8),4,4,75%,נמוך-בינוני 1 · בינוני 3,31.0,44.9
ישראל,בינוני,4,34.1,4.83,חשיפה מנייתית,"3 קופות מסומנות ""ללא נתון"" במיפוי — הרמה נגזרה מהתנהגות הקופות",ישראל (4),0,3,,,33.7,37.2
כללי,בינוני,314,30.5,7.0,מיפוי קופות,,כללי (314),118,0,89%,נמוך מאוד 4 · נמוך 2 · נמוך-בינוני 3 · בינוני 105 · גבוה 4,23.3,35.4
קוהורטות,בינוני,2,26.6,,חשיפה מנייתית,"2 קופות מסומנות ""ללא נתון"" במיפוי — הרמה נגזרה מהתנהגות הקופות",קוהורטות (2),0,2,,,23.2,29.9
מניות ישראל,גבוה,9,99.5,14.71,מיפוי קופות,,מניות (6) · מדד (3),6,0,100%,גבוה 6,98.9,99.8
"מניות חו""ל",גבוה,9,99.2,,מיפוי קופות,,מניות (8) · מדד (1),7,0,100%,גבוה 7,97.3,99.6
עוקב מדד s&p 500,גבוה,31,98.8,10.18,מיפוי קופות,,עוקבי מדדים (31),24,0,100%,גבוה 24,98.4,99.5
"חו""ל - פאסיבי",גבוה,9,97.8,9.95,מיפוי קופות,,"מניות (8) · אג""ח (1)",9,0,89%,נמוך 1 · גבוה 8,97.3,99.1
עוקב מדדי מניות,גבוה,30,97.2,14.22,מיפוי קופות,,עוקבי מדדים (30),21,0,100%,גבוה 21,96.2,98.6
מניות סחיר,גבוה,25,96.6,11.8,מיפוי קופות,,מתמחים באפיקי השקעה סחירים (25),9,0,100%,גבוה 9,93.9,98.1
חיסכון לילד -חוסכים המעדיפים סיכון גבוה,גבוה,11,95.1,14.68,מיפוי קופות,,"מודל חכ""מ אחר (11)",11,0,100%,גבוה 11,94.4,96.4
מניות,גבוה,105,94.3,14.05,מיפוי קופות,,מניות (69) · מתמחים בניהול אקטיבי (33) · מדד (3),41,0,95%,בינוני 2 · גבוה 39,91.2,96.4
קיימות,גבוה,7,89.0,,חשיפה מנייתית,"3 קופות מסומנות ""ללא נתון"" במיפוי — הרמה נגזרה מהתנהגות הקופות",קיימות (7),0,3,,,88.4,96.7
